threshold,accuracy,f1_macro,recall_nao_alfabetizado,precision_nao_alfabetizado
0.5,0.6244,0.6222,0.6708,0.532
0.52,0.6175,0.6169,0.7081,0.5236
0.55,0.6017,0.6014,0.7682,0.5083
0.58,0.5797,0.5757,0.8297,0.4915
0.6,0.5612,0.5512,0.8696,0.4796
0.65,0.5325,0.5093,0.9175,0.4635
