cluster,municipios,risco_medio,taxa_alfabetizacao,inse,gap_meta,participacao,perfil
0,789,0.5135236008554372,57.193913512873465,4.398476869322184,-23.114908485361426,94.2797845373891,Atencao
1,870,0.701856799767042,36.327524885331194,4.405513996890126,-42.84634126458207,88.48465517241378,Critico
2,1443,0.4390973390759739,64.23812204294211,5.204256733378261,-15.75754849845829,87.50875952875953,Intermediario
3,903,0.22634064547814645,83.94172854716302,4.754972388160022,3.0662346152315973,95.11751937984495,Consolidado
