braco,model,n_features,roc_auc_teste,accuracy,f1_macro
com_peso_aluno,logistic,28,0.6828204705991198,0.6219207324799461,0.619102763067449
com_peso_aluno,random_forest,28,0.6881255847857842,0.6257265394287861,0.6232448287323152
com_peso_aluno,xgboost,28,0.6880389810808549,0.627256017662045,0.6243455594293611
sem_peso_aluno,logistic,27,0.6813020645449199,0.6207266661399458,0.6179646641198273
sem_peso_aluno,random_forest,27,0.6859950947185937,0.6232340563819939,0.6211015045914301
sem_peso_aluno,xgboost,27,0.6856630295178522,0.6232728150896594,0.6210341761688659
