id_municipio,uf,cluster,perfil,risco_medio,taxa_alfabetizacao_real,inse_municipio
110001,RO,2,Intermediario,0.4047156748751201,57.98319327731093,4.8984615384615395
110002,RO,2,Intermediario,0.44552594100836446,62.94642857142857,4.878965517241379
110003,RO,0,Consolidado,0.3532835217387195,73.33333333333333,4.9525
110004,RO,2,Intermediario,0.4347992099077766,63.83647798742138,4.949677419354839
110005,RO,2,Intermediario,0.4625227768428961,67.9245283018868,5.027499999999999
110006,RO,2,Intermediario,0.4007259299033312,61.016949152542374,5.135
110007,RO,2,Intermediario,0.4104904027664288,62.7906976744186,4.881428571428572
110008,RO,2,Intermediario,0.3550480077330629,67.16417910447761,4.753333333333334
110009,RO,0,Consolidado,0.30894493299431414,74.56647398843931,4.833333333333334
110010,RO,1,Critico,0.6037129672480432,45.68527918781726,4.768888888888888
110011,RO,2,Intermediario,0.43097572991149863,68.33976833976834,4.8986363636363635
110012,RO,2,Intermediario,0.39699835293915997,68.5251798561151,4.967608695652173
110013,RO,2,Intermediario,0.5075180551242713,61.79775280898876,4.696666666666666
110014,RO,0,Consolidado,0.31800481780096673,63.2183908045977,4.917142857142857
110015,RO,2,Intermediario,0.3763281345530219,65.54054054054053,4.979333333333333
110018,RO,2,Intermediario,0.3094795746589753,76.04790419161677,5.042142857142857
110020,RO,2,Intermediario,0.49945033860720217,59.49913644214162,4.912746478873237
110025,RO,2,Intermediario,0.44021780207021344,67.04545454545455,4.9270000000000005
110026,RO,2,Intermediario,0.3663341085814848,65.51724137931035,4.835
110028,RO,2,Intermediario,0.38134500158813733,70.34220532319392,5.035999999999998
110029,RO,0,Consolidado,0.2821167803182183,74.28571428571429,4.865
110030,RO,2,Intermediario,0.3896755804699307,71.72995780590718,5.152666666666666
110032,RO,2,Intermediario,0.4029787212747315,69.64285714285714,4.846363636363637
110033,RO,3,Atencao,0.5449548615193883,55.42857142857143,4.692727272727273
110034,RO,2,Intermediario,0.553191893738959,57.14285714285714,4.948333333333333
110037,RO,0,Consolidado,0.34165654033095305,84.4155844155844,4.775
110040,RO,2,Intermediario,0.4647197426333664,52.63157894736842,4.87125
110045,RO,2,Intermediario,0.47122349803563485,64.0,4.850833333333334
110050,RO,2,Intermediario,0.35133259803224615,62.7906976744186,4.88
110060,RO,2,Intermediario,0.4060173563426425,60.0,4.8625
110070,RO,2,Intermediario,0.43017635662697706,68.85245901639344,4.806666666666667
110080,RO,2,Intermediario,0.5907023153989209,53.64238410596026,4.747999999999999
110092,RO,2,Intermediario,0.2884374460697788,64.40677966101694,4.953333333333334
110094,RO,2,Intermediario,0.35312638136866653,67.24137931034483,4.775
110100,RO,2,Intermediario,0.3810384489890972,73.13432835820896,4.768
110110,RO,0,Consolidado,0.23131933428795828,86.66666666666667,4.583333333333333
110120,RO,2,Intermediario,0.35995668427083904,63.63636363636363,4.97
110130,RO,2,Intermediario,0.43797871516599096,71.42857142857143,4.824
110140,RO,2,Intermediario,0.36620281140178845,68.18181818181817,4.898571428571429
110143,RO,2,Intermediario,0.4044812232580667,81.48148148148148,4.815
110145,RO,2,Intermediario,0.42533982852006674,52.0,4.9350000000000005
110148,RO,2,Intermediario,0.4597055804960758,66.66666666666666,5.0
110149,RO,2,Intermediario,0.4399970962243036,68.0,4.955714285714286
110150,RO,3,Atencao,0.4474005388702081,64.19753086419753,4.856666666666667
110155,RO,2,Intermediario,0.3760921488359065,75.0,4.87
110160,RO,2,Intermediario,0.424642351268056,73.07692307692307,4.744
110170,RO,2,Intermediario,0.4076177121437497,66.66666666666666,4.838333333333333
110175,RO,3,Atencao,0.6294120386457719,58.333333333333336,4.865
110180,RO,3,Atencao,0.5888876922217887,55.00000000000001,4.8075
130002,AM,3,Atencao,0.5616046907120671,55.00000000000001,3.9033333333333338
130006,AM,3,Atencao,0.45580235814611153,63.366336633663366,3.538333333333333
130008,AM,3,Atencao,0.555773756930452,60.60606060606061,4.159166666666667
130010,AM,0,Consolidado,0.3337738178436766,72.47706422018348,4.167777777777777
130014,AM,2,Intermediario,0.476702964332337,58.42696629213483,4.604444444444444
130020,AM,2,Intermediario,0.41111230184082437,64.47368421052632,3.8350000000000004
130040,AM,1,Critico,0.5728200141906683,50.505050505050505,4.03090909090909
130050,AM,1,Critico,0.7856926308118755,30.967741935483872,3.6841379310344826
130068,AM,1,Critico,0.664353494698428,48.61111111111111,4.014
130070,AM,1,Critico,0.5611177235420801,56.73758865248227,4.446315789473685
130080,AM,1,Critico,0.6648699090693851,39.285714285714285,3.9440625000000002
130100,AM,3,Atencao,0.5155736188854583,58.91472868217055,4.073684210526316
130115,AM,1,Critico,0.7053269365371182,39.21568627450981,4.236190476190476
130120,AM,1,Critico,0.6422401544046558,47.354497354497354,4.081666666666667
130130,AM,3,Atencao,0.5886050377884317,53.125,4.243076923076923
130165,AM,3,Atencao,0.5003278623899444,56.14035087719298,4.14875
130170,AM,3,Atencao,0.5461260646844563,59.63636363636363,4.168823529411765
130185,AM,1,Critico,0.6629197765220057,35.68904593639576,4.637000000000001
130190,AM,3,Atencao,0.5560486790643178,55.41125541125541,4.272075471698114
130195,AM,0,Consolidado,0.28340463415791967,77.55102040816327,3.692857142857143
130210,AM,0,Consolidado,0.24458389884107118,83.60655737704919,3.82625
130220,AM,1,Critico,0.6133793916942241,53.84615384615385,3.8957142857142855
130230,AM,1,Critico,0.6854897817248046,32.800000000000004,3.7415789473684216
130240,AM,2,Intermediario,0.4134824618440644,74.25149700598801,4.415384615384616
130250,AM,1,Critico,0.6421371481713782,45.45454545454545,4.329122807017543
130255,AM,1,Critico,0.7015745149718656,30.0,4.164000000000001
130260,AM,2,Intermediario,0.5559245409744149,53.86263795135541,4.853927893738139
130270,AM,3,Atencao,0.4968876086840157,52.0,4.013529411764706
130280,AM,1,Critico,0.6771072227292708,46.03174603174603,3.78
