id_municipio,uf,taxa_atual,meta_2030,distancia_meta_pp,ritmo_necessario_aa,risco_medio
240730,RN,5.0,80.0,-75.0,12.5,0.7793101893635025
292980,BA,5.714285714285714,80.0,-74.28571428571429,12.380952380952381,0.8333786116544757
290225,BA,6.896551724137931,80.0,-73.10344827586206,12.183908045977011,0.8445716645121475
280510,SE,8.0,80.0,-72.0,12.0,0.8594549968728827
171570,TO,9.375,80.0,-70.625,11.770833333333334,0.8118158783559127
292090,BA,10.909090909090908,80.0,-69.0909090909091,11.515151515151516,0.7965310417774336
292080,BA,12.903225806451612,80.0,-67.09677419354838,11.18279569892473,0.8298108751752282
170770,TO,13.333333333333334,80.0,-66.66666666666667,11.111111111111112,0.8655468148061022
171195,TO,13.793103448275861,80.0,-66.20689655172414,11.03448275862069,0.8337634352541556
170300,TO,13.953488372093023,80.0,-66.04651162790698,11.007751937984496,0.824805701319409
241320,RN,14.285714285714285,80.0,-65.71428571428572,10.952380952380954,0.7813195046250553
220860,PI,14.285714285714285,80.0,-65.71428571428572,10.952380952380954,0.7236259792238834
170390,TO,14.285714285714285,80.0,-65.71428571428572,10.952380952380954,0.7921651261638125
290682,BA,14.545454545454545,80.0,-65.45454545454545,10.909090909090908,0.7992737960875087
292285,BA,15.0,80.0,-65.0,10.833333333333334,0.7527533950480467
291180,BA,15.789473684210526,80.0,-64.21052631578948,10.701754385964913,0.818555195540348
292440,BA,16.312056737588655,80.0,-63.687943262411345,10.61465721040189,0.8086758992141547
280560,SE,16.3265306122449,80.0,-63.673469387755105,10.612244897959185,0.8107352746309057
292420,BA,16.666666666666664,80.0,-63.333333333333336,10.555555555555555,0.8082868260456719
292780,BA,16.666666666666664,80.0,-63.333333333333336,10.555555555555555,0.6690662351089786
290360,BA,16.666666666666664,80.0,-63.333333333333336,10.555555555555555,0.7911768083559096
293245,BA,16.94915254237288,80.0,-63.05084745762712,10.508474576271187,0.808028424576508
292710,BA,16.9811320754717,80.0,-63.0188679245283,10.50314465408805,0.7814545795009893
293305,BA,17.142857142857142,80.0,-62.85714285714286,10.476190476190476,0.7729367697379567
290190,BA,17.17171717171717,80.0,-62.82828282828283,10.471380471380472,0.8445313112001688
240980,RN,17.24137931034483,80.0,-62.758620689655174,10.459770114942529,0.8021197052690519
171250,TO,17.391304347826086,80.0,-62.608695652173914,10.434782608695652,0.7711296624914248
170307,TO,17.857142857142858,80.0,-62.14285714285714,10.357142857142856,0.8459640097313292
240895,RN,18.181818181818183,80.0,-61.81818181818181,10.303030303030303,0.8081411835293068
280490,SE,18.181818181818183,80.0,-61.81818181818181,10.303030303030303,0.8082917660444335
290720,BA,18.385650224215247,80.0,-61.61434977578475,10.269058295964125,0.8668860751775623
291540,BA,18.51851851851852,80.0,-61.48148148148148,10.246913580246913,0.8428999479603791
241420,RN,18.681318681318682,80.0,-61.318681318681314,10.219780219780219,0.8148415570288994
293110,BA,18.75,80.0,-61.25,10.208333333333334,0.7948210524458947
292937,BA,19.35483870967742,80.0,-60.64516129032258,10.10752688172043,0.7886242024960437
280420,SE,19.672131147540984,80.0,-60.32786885245902,10.05464480874317,0.7481750356971526
