posicao,id_municipio,uf,n_alunos_avaliados,risco_medio,taxa_alfabetizacao_real,inse_municipio,gap_meta_2030
23,290210,BA,140,0.8209468264685675,21.428571428571427,4.153333333333334,-57.732586206896556
24,291060,BA,138,0.8209096844802234,20.28985507246377,4.34923076923077,-57.93193113772455
25,240160,RN,20,0.8194907430728235,25.0,4.416666666666667,-57.19
26,291180,BA,57,0.818555195540348,15.789473684210526,4.499999999999999,-57.33658862876254
27,241420,RN,91,0.8148415570288994,18.681318681318682,4.552727272727273,-58.5402421307506
28,292370,BA,107,0.8142937630851201,22.429906542056074,4.348000000000001,-57.266921487603305
29,290020,BA,71,0.8140484635088541,22.535211267605636,4.102307692307693,-56.30724137931035
30,290550,BA,53,0.8122441007678161,32.075471698113205,4.301,-54.76662835249042
31,171570,TO,32,0.8118158783559127,9.375,4.442,-57.634
32,160050,AP,149,0.811754049876482,23.48993288590604,4.30375,-56.40427471116816
33,280630,SE,44,0.8113315084956452,36.36363636363637,4.198333333333332,-55.86049618320611
34,280560,SE,98,0.8107352746309057,16.3265306122449,4.209090909090908,-54.39139047619047
35,292970,BA,29,0.8089282575241085,27.586206896551722,4.247777777777777,-57.10837988826816
36,291630,BA,25,0.8088269139944861,24.0,4.506666666666667,-61.29151724137931
37,292440,BA,141,0.8086758992141547,16.312056737588655,3.8923999999999994,-56.780212765957444
38,280490,SE,33,0.8082917660444335,18.181818181818183,3.9015384615384616,-56.11717514124294
39,292420,BA,54,0.8082868260456719,16.666666666666664,3.9755555555555557,-55.76205128205128
40,240895,RN,44,0.8081411835293068,18.181818181818183,4.452,-57.57020618556701
41,293245,BA,59,0.808028424576508,16.94915254237288,4.458,-57.96768953068592
42,290890,BA,67,0.8076448121308665,26.865671641791046,4.266363636363637,-54.344967532467535
43,150280,PA,226,0.8074995809277061,28.761061946902654,3.604642857142857,-55.41452574525745
44,291110,BA,88,0.807484524148217,25.0,4.336428571428572,-56.29818181818182
45,293315,BA,55,0.8073252520028962,34.54545454545455,4.366666666666666,-54.89634551495016
46,150520,PA,173,0.8056838874218352,30.057803468208093,3.8174999999999994,-56.16594318181818
47,280120,SE,159,0.8054615888760231,27.67295597484277,4.309444444444446,-55.26269058295964
48,270360,AL,39,0.8046277542610527,23.076923076923077,4.3757142857142854,-54.843548387096774
49,280590,SE,48,0.8032946682245626,25.0,4.4075,-59.31272727272727
50,270710,AL,146,0.8031934428393858,26.027397260273972,4.223846153846154,-55.074680232558144
51,293020,BA,155,0.8029254004247517,21.29032258064516,4.376153846153846,-54.70488622754492
52,280480,SE,766,0.8024167546884793,28.590078328981722,4.647454545454544,-53.52644486692015
53,240980,RN,29,0.8021197052690519,17.24137931034483,4.42,-57.0230303030303
54,291960,BA,51,0.8019866347797162,23.52941176470588,3.8840000000000003,-55.44468085106383
55,291190,BA,104,0.8018241266753261,25.0,4.200666666666665,-54.35249537892791
56,291700,BA,107,0.8013174788083488,22.429906542056074,4.227407407407408,-55.417668593448944
57,292205,BA,39,0.8005930414208965,35.8974358974359,4.40625,-54.33561085972851
58,291915,BA,133,0.8004195652216524,30.075187969924812,4.451333333333333,-54.839921752738654
59,290682,BA,55,0.7992737960875087,14.545454545454545,4.2942857142857145,-55.651
60,291580,BA,91,0.799140871523743,24.175824175824175,4.4786666666666655,-55.43305882352941
61,280360,SE,79,0.7983840924982802,25.31645569620253,4.452307692307693,-51.4342663476874
62,130426,AM,78,0.7976621939628294,20.51282051282051,3.778,-56.416666666666664
63,240550,RN,23,0.7975712958529395,30.434782608695656,4.373333333333333,-54.35650793650794
64,290680,BA,145,0.7973960319299266,31.03448275862069,4.271000000000001,-53.48352941176471
65,290475,BA,47,0.7971087127979707,12.76595744680851,4.2621052631578955,
66,280400,SE,55,0.7967615683951118,21.818181818181817,4.441111111111111,-54.5571186440678
67,292090,BA,55,0.7965310417774336,10.909090909090908,4.27,-55.76012931034482
68,280640,SE,40,0.7960925652878101,27.500000000000004,4.32,-54.4313407821229
69,290530,BA,69,0.7956824500936741,21.73913043478261,4.361111111111112,-54.576109324758846
70,293110,BA,32,0.7948210524458947,18.75,4.42,-54.955416666666665
71,171886,TO,23,0.794291199661307,26.08695652173913,4.51,-55.0541935483871
72,171875,TO,31,0.7937559552145809,38.70967741935484,4.414999999999999,-52.688652482269504
73,290470,BA,60,0.7924884191459973,26.666666666666668,4.306000000000001,-54.139623430962345
74,170390,TO,28,0.7921651261638125,14.285714285714285,4.693333333333333,-56.9225
75,290990,BA,172,0.7920628653170442,24.418604651162788,4.271818181818183,-53.52748166259169
76,292225,BA,54,0.7916870539891915,27.77777777777778,4.260909090909091,-53.69300884955752
77,170900,TO,63,0.7913527545020942,20.634920634920633,4.05,-55.77329787234043
78,290580,BA,100,0.7912855915317697,24.0,4.281363636363636,-52.84275574112735
79,290360,BA,30,0.7911768083559096,16.666666666666664,4.072727272727272,-54.85297297297297
80,290040,BA,27,0.7909704524609922,25.925925925925924,4.203749999999999,-54.44986013986014
81,291270,BA,92,0.7909695267619088,22.82608695652174,4.386153846153847,-53.27766265060241
82,292800,BA,93,0.7908646557529636,25.806451612903224,4.362666666666667,-53.09171557562077
83,292937,BA,31,0.7886242024960437,19.35483870967742,4.385999999999999,-53.9435
84,280220,SE,26,0.7884505835281085,34.61538461538461,4.380000000000001,-52.381019108280256
85,241010,RN,28,0.7881851174928701,17.857142857142858,4.323333333333333,
86,280240,SE,37,0.7881683006311689,24.324324324324326,4.116666666666667,-52.47786802030457
87,250720,PB,23,0.7878655162592587,26.08695652173913,4.06,-50.76831460674157
88,292290,BA,100,0.7877278217347445,30.0,4.162,-53.34623742454728
89,270310,AL,104,0.7874084919744667,27.884615384615387,4.2947058823529405,-52.84772277227723
90,220335,PI,26,0.7873677115800983,23.076923076923077,4.021428571428571,-53.8
91,292830,BA,25,0.7868673431787966,20.0,4.416666666666666,
92,291310,BA,41,0.7864259178860326,26.82926829268293,4.52,-52.91041666666666
93,292850,BA,29,0.7864210075519599,44.827586206896555,4.358333333333334,-52.88898734177216
94,120013,AC,48,0.7861606022661897,25.0,4.341666666666667,
95,291140,BA,26,0.7860332753267637,23.076923076923077,4.259090909090908,-51.9957634730539
96,292750,BA,42,0.7860011852125204,33.33333333333333,4.2254545454545465,-52.29566666666667
97,292335,BA,54,0.7857552375610763,25.925925925925924,4.395555555555556,-52.51268072289157
98,130050,AM,155,0.7856926308118755,30.967741935483872,3.6841379310344826,-51.65136794396374
99,292400,BA,397,0.7856214944742724,28.967254408060455,4.532727272727273,-52.489758186397985
100,290323,BA,46,0.7852794478157151,26.08695652173913,4.2975,-53.046048387096775
101,293170,BA,29,0.7852503432573572,24.137931034482758,4.355,-54.19192708333333
102,292310,BA,66,0.7847114409088006,31.818181818181817,4.173333333333334,-52.79076502732241
103,291465,BA,138,0.7845759824678189,29.71014492753623,4.532,-51.88509259259259
104,280170,SE,77,0.783175526571318,32.467532467532465,4.2153846153846155,-50.3836147757256
105,290270,BA,199,0.7825854753830728,26.633165829145728,4.221590909090909,-52.38880952380952
106,280040,SE,44,0.7825461942188793,36.36363636363637,4.290000000000001,-50.14160714285714
107,220230,PI,91,0.7821518536571888,28.57142857142857,4.126666666666668,-56.188552338530066
108,292710,BA,53,0.7814545795009893,16.9811320754717,4.550000000000001,-51.26590909090909
109,241320,RN,28,0.7813195046250553,14.285714285714285,4.3533333333333335,-54.43963302752294
110,251315,PB,35,0.7811852587454478,22.857142857142858,4.3774999999999995,-52.19369230769231
111,270740,AL,41,0.7810611935264247,31.70731707317073,4.496250000000001,-51.1951119402985
112,250520,PB,37,0.7810245016898396,24.324324324324326,4.24,-52.3938064516129
113,292920,BA,136,0.7804464148402592,26.47058823529412,4.582173913043478,-51.99502702702703
114,290687,BA,96,0.7802910865779845,23.958333333333336,4.514615384615385,-52.28024
115,292935,BA,30,0.7800758675509546,26.666666666666668,4.26,-50.810952380952386
116,290630,BA,119,0.7800740350363756,32.773109243697476,4.43,-51.16290718038529
117,280060,SE,125,0.7797433233582953,28.799999999999997,4.726666666666667,-48.55064608347627
118,291810,BA,64,0.7793113955219403,31.25,4.263478260869567,-51.782132352941176
119,240730,RN,20,0.7793101893635025,5.0,4.32,-54.20066666666667
120,292760,BA,57,0.7790925255653945,24.561403508771928,4.234285714285714,-53.089762611275965
121,291085,BA,72,0.77894438333694,22.22222222222222,4.364615384615385,-53.3424
122,291510,BA,44,0.7787967287708074,31.818181818181817,4.055000000000001,-50.504536585365855
123,290060,BA,25,0.7785846088184231,40.0,4.445,-52.18465517241379
124,292070,BA,38,0.7782274859994901,23.684210526315788,4.233888888888889,
125,240670,RN,38,0.7780295437755609,39.473684210526315,4.524285714285714,-55.522456140350876
126,292540,BA,39,0.7778580842794304,30.76923076923077,4.4590000000000005,-52.23278846153846
127,292265,BA,52,0.7775925394868346,25.0,4.182857142857143,-51.81948805460751
128,160010,AP,55,0.7770666872690912,23.636363636363637,4.311111111111112,-53.856830601092895
129,290790,BA,83,0.7768142941655419,28.915662650602407,4.198181818181818,-50.43602702702702
130,291535,BA,49,0.7766839560057275,24.489795918367346,4.225384615384615,-52.74782051282051
131,293270,BA,78,0.7760115414100182,25.64102564102564,4.368571428571429,-51.536910569105686
132,220050,PI,80,0.7751359249257419,32.5,4.173846153846154,-52.44015037593985
133,240185,RN,35,0.7751155633499506,45.714285714285715,4.43,-50.90582191780822
134,293150,BA,79,0.7749419589178376,26.582278481012654,4.287857142857144,-51.23960099750623
135,290170,BA,24,0.7748292547266408,33.33333333333333,4.232500000000001,-50.175
136,292150,BA,84,0.774375232623204,25.0,4.206206896551725,-50.76519455252919
137,280230,SE,46,0.7743546393390995,28.26086956521739,4.472857142857142,-48.698564814814816
138,290135,BA,39,0.7741651016157108,38.46153846153847,4.20625,-49.36396226415094
139,241340,RN,21,0.7740571774531113,28.57142857142857,4.503333333333334,-50.91729411764706
140,291370,BA,101,0.7740355401314056,27.722772277227726,4.296499999999999,-50.22430799220273
141,292580,BA,81,0.7736263177766101,27.160493827160494,4.333846153846154,-51.50347022587269
142,290760,BA,37,0.7735519025934512,21.62162162162162,4.211,-51.583413173652694
143,240120,RN,60,0.7734578879852172,26.666666666666668,4.42,-51.879265734265736
144,291360,BA,599,0.7732718472216876,29.883138564273793,4.4512068965517235,-52.84747159736423
