model,accuracy,f1_macro,recall_nao_alfabetizado,recall_alfabetizado,roc_auc,params
logistic,0.6219207324799461,0.619102763067449,0.6559308117576222,0.5984318845108901,0.6828204705945213,"{""C"": 0.0019517224641449498}"
random_forest,0.6254269048041419,0.6230180275146155,0.6676592406079516,0.5962594069287417,0.6881525454258086,"{""n_estimators"": 376, ""max_depth"": 11, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}"
xgboost,0.6270741498799225,0.6241920137695016,0.6603280602842703,0.6041075452011432,0.6880623118103099,"{""n_estimators"": 489, ""max_depth"": 6, ""learning_rate"": 0.010131998913068164, ""subsample"": 0.7928731571301929, ""colsample_bytree"": 0.7706924812397122, ""min_child_weight"": 4, ""reg_lambda"": 2.548092889582749}"
