uf,Atencao,Consolidado,Critico,Intermediario
AL,41.66666666666667,11.458333333333332,46.875,0.0
AM,33.33333333333333,6.25,50.0,10.416666666666668
AP,43.75,0.0,56.25,0.0
BA,20.855614973262032,0.267379679144385,78.34224598930481,0.53475935828877
CE,3.278688524590164,96.72131147540983,0.0,0.0
ES,5.194805194805195,63.63636363636363,0.0,31.16883116883117
GO,8.928571428571429,52.38095238095239,0.0,38.69047619047619
MA,55.714285714285715,24.761904761904763,18.095238095238095,1.4285714285714286
MG,17.32418524871355,32.59005145797599,2.2298456260720414,47.85591766723842
MS,29.48717948717949,11.538461538461538,30.76923076923077,28.205128205128204
MT,10.16949152542373,11.864406779661017,11.864406779661017,66.10169491525424
PA,25.0,1.4705882352941175,65.44117647058823,8.088235294117647
PB,52.083333333333336,14.583333333333334,30.555555555555557,2.7777777777777777
PE,73.48066298342542,22.099447513812155,4.41988950276243,0.0
PI,46.93877551020408,31.292517006802722,21.768707482993197,0.0
PR,1.2539184952978055,40.43887147335423,0.0,58.307210031347964
RJ,1.1111111111111112,2.2222222222222223,23.333333333333332,73.33333333333333
RN,13.043478260869565,0.0,84.78260869565217,2.1739130434782608
RO,8.16326530612245,12.244897959183673,4.081632653061225,75.51020408163265
RS,1.3513513513513513,5.405405405405405,3.153153153153153,90.09009009009009
SC,0.0,4.9079754601226995,2.4539877300613497,92.63803680981594
SE,9.836065573770492,0.0,90.1639344262295,0.0
SP,2.7247956403269753,11.716621253405995,4.904632152588556,80.65395095367847
TO,22.89156626506024,0.0,62.65060240963856,14.457831325301203
