braco,model,n_features,roc_auc_teste,accuracy,f1_macro
baseline_v2,logistic,15,0.6827651439022514,0.6239510924738043,0.6208366339657152
baseline_v2,random_forest,15,0.6881257159521347,0.6244952051006459,0.6222320211842376
baseline_v2,xgboost,15,0.6879419341772587,0.6266299154612957,0.6238735110705577
enriquecido_v3,logistic,28,0.6828204707554671,0.6219207324799461,0.619102763067449
enriquecido_v3,random_forest,28,0.6881830291496778,0.6257727517340795,0.6233095732058239
enriquecido_v3,xgboost,28,0.688054815283664,0.6270011046231685,0.6241522244915252
